userId,userName,password,preferences
33257035290,Karen Price,game,"['clothing', 'beauty']"
34501303449,Sheila Garcia,leader,['pets']
18957908008,Tina Bowen,six,"['pets', 'clothing', 'sports']"
21195440796,Jasmine Hendrix,degree,"['clothing', 'books']"
20195652059,Shelly Salinas,how,"['health', 'clothing', 'beauty']"
11546235696,Christopher Wells,by,['beauty']
62924734437,Sarah Reed,teacher,"['beauty', 'health']"
52860626758,Miss Amanda Miller,myself,"['books', 'beauty']"
76359078254,Angela Cox,with,['health']
15614464850,Shane Wood,involve,"['health', 'clothing', 'automotive']"
51923903607,Chad Melendez,management,"['clothing', 'books']"
98756039419,Sean Davis,thought,"['home decor', 'toys']"
66500573517,Barbara Maldonado,development,"['sports', 'electronics', 'beauty']"
83431973322,Melissa Jenkins,why,"['health', 'toys', 'pets']"
69542044005,Ronald Kent,amount,"['sports', 'toys', 'electronics']"
92901318652,Steven Moore,decade,['pets']
24445872421,Joel Bishop,personal,['health']
11037731006,Rebecca Simmons,we,"['home decor', 'electronics']"
46486353830,Tara Reyes,note,"['pets', 'sports']"
38667582248,Kyle Lopez,until,"['clothing', 'books', 'sports']"
10893822197,Michael Lopez,wall,['automotive']
92241432503,Mary Turner MD,dog,"['food', 'books']"
33727197051,Sarah Cox,note,['automotive']
74776558783,Ronald Pope,role,"['toys', 'home decor', 'food']"
53342579208,Rebecca White,partner,"['automotive', 'electronics']"
27707359081,Rebecca Morris,east,['clothing']
40417770926,Blake Beasley,industry,"['health', 'home decor']"
38935545192,Stephanie Weiss,type,['health']
96560954030,David Tran,your,"['home decor', 'sports']"
30932374868,Mary Dixon,hit,"['home decor', 'toys']"
47389004591,Chad Walker MD,increase,"['food', 'books', 'sports']"
12003165489,Justin Rodriguez,many,['beauty']
17849694944,Duane Johnson,occur,['electronics']
68848636563,Gabrielle Dunn,stage,"['home decor', 'toys']"
28959482103,Jesse Lewis,this,"['sports', 'home decor']"
16184197775,Christopher Roth,grow,"['beauty', 'toys']"
49297894631,Marissa Garza,build,"['books', 'food']"
29928812169,John Wilson,born,"['electronics', 'sports']"
84375575033,Jesse Flowers,some,"['books', 'beauty', 'clothing']"
47589731527,John King,middle,"['toys', 'books', 'food']"
54683066976,John Adams,inside,"['automotive', 'pets', 'toys']"
32053972156,Teresa Gonzalez,deep,['electronics']
53545174572,Jeffrey Kline,every,"['pets', 'electronics', 'beauty']"
42576687321,Grace Bell,our,"['toys', 'sports']"
99930054432,Alexis Anderson,point,['clothing']
40716227802,Andrew Diaz,rock,"['home decor', 'sports']"
46722649725,Cameron Jackson,forget,"['toys', 'food']"
44041102677,Glenn Moon,police,['food']
93010925687,Michael Rodriguez,parent,"['clothing', 'health', 'toys']"
39280517504,Terri Nichols,call,['home decor']
38941037445,Adrian Gibson,scientist,['toys']
20237140055,Suzanne Taylor DVM,they,['toys']
94287215059,Michael Smith,hold,"['automotive', 'beauty']"
94166942494,Leslie Coleman,serious,"['toys', 'food', 'sports']"
40455026879,Kelsey Maddox,line,"['books', 'automotive']"
12025281151,Nicholas Boyer,tree,"['health', 'home decor']"
27103222765,Steven Price,record,"['toys', 'health', 'food']"
36699267150,Jacqueline Gonzalez,buy,['electronics']
60806606345,Patrick Willis,step,['food']
74439247627,Jennifer Chavez,top,"['beauty', 'books', 'electronics']"
81128285763,Adam Torres,central,"['books', 'toys']"
18981210801,Cynthia Young,stage,"['automotive', 'home decor']"
15818238128,Dennis Rogers,address,['automotive']
62789713590,James Potts,him,"['food', 'health', 'automotive']"
10185365280,Brenda Blair,around,['beauty']
50364828889,Harry Lang,religious,"['beauty', 'home decor', 'electronics']"
41133374132,Christopher Castro,new,"['pets', 'electronics', 'books']"
38423550784,Audrey Carter DVM,paper,"['clothing', 'sports']"
19026806862,Melissa Winters,behind,"['sports', 'automotive']"
43765064222,Scott Paul,rate,"['automotive', 'sports', 'health']"
60319703534,Teresa Hudson,box,['automotive']
33149715989,Melissa Rodriguez,skill,['food']
81348752611,Valerie Caldwell,wall,['home decor']
79646366998,Tammy Lewis,free,"['pets', 'toys']"
51944598341,Corey Simmons,field,"['pets', 'beauty']"
31012241884,Christina Gillespie DDS,customer,['clothing']
86486737792,David Baker,memory,['clothing']
70019127750,Joseph Daniel,blue,"['beauty', 'food']"
48761135962,Allison Thompson,response,['sports']
75781471296,Vanessa Sullivan,economy,['health']
70256059046,Gary Byrd,need,['electronics']
70084593194,Karen Griffin,professional,"['electronics', 'sports', 'automotive']"
13426415974,Barry Flores,education,"['home decor', 'clothing', 'sports']"
14756499339,Shawn Lucero,however,"['home decor', 'pets', 'sports']"
78531643447,Rose Smith,occur,['home decor']
95206313795,Christopher Wilson,onto,"['automotive', 'toys']"
72957275572,Elizabeth Snyder,brother,['electronics']
12736746486,Jamie James,describe,"['home decor', 'health']"
69880597421,Robert Gomez,candidate,"['food', 'toys']"
47339662201,Geoffrey Williams,blue,['toys']
36464987833,Michael Marquez,wind,['electronics']
94134128047,George Munoz,daughter,"['clothing', 'pets', 'health']"
52684815189,Brett Perry,fund,"['clothing', 'beauty']"
63898171589,Nina Joseph,since,"['home decor', 'beauty']"
64146462985,Laurie Hendricks,herself,"['home decor', 'beauty']"
97656997374,Wayne Miranda,instead,['automotive']
48004179851,Dana Gonzalez,film,"['automotive', 'food', 'books']"
65867512855,Amber May,the,"['clothing', 'pets', 'automotive']"
77897027409,Craig Garcia,ever,['sports']
91850460297,Daniel Anderson,fly,"['beauty', 'home decor']"
37345636657,Lori Russell,day,['automotive']
21549935592,Robert Cole,heart,"['sports', 'automotive']"
70732157807,Christopher Mcdonald,night,['home decor']
18489849887,Kerry Wilson,head,"['toys', 'pets']"
85567887369,Cynthia Rogers,all,"['food', 'automotive', 'home decor']"
79845569953,Rachel Hernandez,son,"['home decor', 'health']"
12659370253,Elizabeth Harris,structure,['food']
52290361861,Matthew Barber,light,['home decor']
59224855308,Valerie Rice,political,"['home decor', 'pets', 'automotive']"
20751277312,Mrs. Amber Pineda,inside,"['pets', 'books']"
52589233673,Audrey Ayala,bring,"['pets', 'toys']"
97496508584,Jonathan Roberts,describe,['health']
20367688866,Natalie Dominguez,PM,"['beauty', 'electronics', 'books']"
80691845601,Julie Mcmahon,international,"['home decor', 'toys']"
75304307780,Marcus Miles,point,['beauty']
42184978157,Jaclyn Martin,bag,"['books', 'sports', 'electronics']"
69008083173,Marcus Pierce,fine,"['pets', 'health', 'electronics']"
62397072225,Deanna Smith,need,"['toys', 'sports', 'home decor']"
70818516785,Nicole Wilson,question,['sports']
78782074899,Valerie Graves,property,"['sports', 'pets']"
95852822243,Regina Vega,as,['home decor']
88744976905,Jack Atkins,prepare,"['health', 'pets']"
78657144199,Mackenzie Craig,stop,"['clothing', 'food', 'health']"
33512793425,Kristen Wheeler,power,"['health', 'beauty', 'sports']"
47112814402,John Ferguson MD,try,"['automotive', 'electronics', 'clothing']"
59507014850,Jacob Hurley,firm,"['pets', 'clothing']"
49963365005,Robert Ross,bill,['beauty']
40775463832,Erin Griffin,goal,['automotive']
72020176876,Timothy Mercer IV,section,"['electronics', 'clothing']"
31098518569,Jack Martinez,sport,"['sports', 'clothing']"
66273909656,Donna Sutton,food,"['pets', 'books']"
